Timeslot,Period,,# of Div,C,J,M,B,S,Leader,LC
F21,Riflery B,,1,,,,1,,2,
F21,Sailing CJM,,3,1,1,1,,,3,2
F21,Street Hockey BS (Sr. Courts),,2,,,,1,1,1,1
F21,Tennis CJ (Besserer Courts),,2,1,1,,,,1,1
F21,Tower S,,1,,,,,1,2,
F21,Waterskiing C,,1,1,,,,,1,1
F21,Woodworking BS,,2,,,,1,1,1,
F21,Nature BS,,2,,,,1,1,1,
F21,Studio Art CJ,,2,1,1,,,,1,
F22,Archery M,,1,,,1,,,2,
F22,Basketball MBS (Pavilion) ,,3,,,1,1,1,1,1
F22,Bizou CJ (Clark 1&2),,2,1,1,,,,2,1
F22,Crosstraining B,,1,,,,1,,1,
F22,Fish JMBS,,4,,1,1,1,1,2,1
F22,Kickball CJ (Cadet Field) ,,2,1,1,,,,1,1
F22,Minnow C,,1,1,,,,,1,1
F22,Nature CJ,,2,1,1,,,,1,1
F22,Paddle Sports CJM,,3,1,1,1,,,2,1
F22,Riflery J,,1,,1,,,,2,
F22,Sailing BS,,2,,,,1,1,2,2
F22,Angleball MBS (Clark 3),,3,,,1,1,1,1,1
F22,Studio Art MBS,,3,,,1,1,1,1,
F22,12 Baseball (Messer),,3,1,1,1,,,2,
F22,Tennis MBS (Senior Courts),,3,,,1,1,1,1,1
F22,Tower C,,1,1,,,,,2,
F22,Volleyball MBS (Cadet Beach) ,,3,,,1,1,1,1,1
F22,Waterskiing S,,1,,,,,1,1,
F22,Pickleball CJ (Besserer Courts),,2,1,1,,,,1,1
